strategy,ann_return,ann_excess,sharpe,max_drawdown,calmar,win_rate,avg_turnover,total_cost,info_ratio,t_stat,n_days
TopK(K=5),1.08,-30.09,0.191,52.52,0.021,45.5,55.0,462500.0,-1.044,-1.765,715
TopK(K=10),-5.33,-36.51,-0.062,54.43,-0.098,40.8,48.97,823500.0,-1.817,-3.071,715
TopK(K=15),-2.5,-33.67,0.029,51.98,-0.048,40.6,44.82,1130570.0,-1.975,-3.338,715
TopK(K=20),-4.8,-35.98,-0.084,53.03,-0.091,37.8,41.16,1384418.0,-2.508,-4.239,715
TopK(K=30),-3.08,-34.25,-0.033,47.98,-0.064,36.2,34.71,1751048.0,-3.295,-5.568,715
"TopKDrop(K=10,D=1)",47.86,16.69,1.567,38.83,1.233,49.7,10.0,167632.0,0.851,1.439,715
"TopKDrop(K=10,D=2)",33.15,1.98,1.194,40.16,0.825,48.4,19.82,332954.0,0.214,0.361,715
"TopKDrop(K=10,D=3)",19.0,-12.18,0.778,42.67,0.445,46.4,28.75,483202.0,-0.467,-0.789,715
"TopKDrop(K=20,D=2)",36.07,4.89,1.401,34.51,1.045,48.7,10.05,336914.0,0.424,0.717,715
"TopKDrop(K=20,D=5)",16.85,-14.33,0.77,41.64,0.405,45.3,24.1,810033.0,-0.871,-1.471,715
"HoldPeriod(K=10,H=3)",28.6,-2.58,1.064,42.89,0.667,47.3,25.71,432099.0,0.006,0.009,715
"HoldPeriod(K=10,H=5)",26.29,-4.89,0.99,37.6,0.699,48.5,17.33,291034.0,-0.097,-0.165,715
"HoldPeriod(K=20,H=3)",12.58,-18.6,0.616,40.54,0.31,46.2,22.91,770469.0,-1.178,-1.991,715
"HoldPeriod(K=20,H=5)",29.32,-1.85,1.189,37.3,0.786,49.4,16.19,544624.0,-0.01,-0.017,715
"HoldDrop(K=10,H=2,D=1)",48.14,16.96,1.581,41.13,1.17,50.3,9.97,167162.0,0.863,1.458,715
"HoldDrop(K=10,H=3,D=1)",53.82,22.64,1.694,40.59,1.326,51.0,9.93,166455.0,1.073,1.813,715
"HoldDrop(K=10,H=4,D=1)",51.46,20.28,1.653,39.12,1.315,51.6,9.87,165513.0,0.989,1.671,715
"HoldDrop(K=10,H=5,D=1)",46.71,15.54,1.541,40.77,1.146,50.3,9.85,165042.0,0.795,1.343,715
"HoldDrop(K=10,H=7,D=1)",36.21,5.03,1.268,39.38,0.919,50.6,9.72,162922.0,0.356,0.601,715
"HoldDrop(K=10,H=10,D=1)",36.56,5.39,1.281,38.35,0.953,48.7,8.49,142198.0,0.377,0.638,715
"HoldDrop(K=10,H=5,D=2)",39.67,8.49,1.366,37.41,1.06,51.9,16.25,272901.0,0.506,0.856,715
"HoldDrop(K=10,H=3,D=2)",32.98,1.8,1.179,40.89,0.807,47.0,19.0,319059.0,0.208,0.351,715
"HoldDropBot(K=10,H=3,D=1,B=5)",46.95,15.77,1.544,38.01,1.235,51.2,10.69,179172.0,0.81,1.369,715
"HoldDropBot(K=10,H=3,D=1,B=10)",48.23,17.05,1.578,35.66,1.353,51.5,11.99,201074.0,0.847,1.431,715
"HoldDropBot(K=10,H=3,D=1,B=20)",44.95,13.78,1.504,37.34,1.204,51.0,14.32,240402.0,0.724,1.223,715
"HoldDropBot(K=10,H=3,D=1,B=30)",46.64,15.46,1.562,36.14,1.29,50.1,16.7,280437.0,0.81,1.369,715
"HoldDropBot(K=10,H=3,D=1,B=40)",31.32,0.14,1.15,38.68,0.81,49.8,19.33,324711.0,0.129,0.218,715
"HoldDropBot(K=10,H=3,D=1,B=50)",32.8,1.62,1.189,40.87,0.803,48.5,22.31,374872.0,0.194,0.329,715
"HoldDropBot(K=10,H=4,D=1,B=10)",40.97,9.8,1.393,35.61,1.151,50.1,11.89,199425.0,0.557,0.941,715
"HoldDropBot(K=10,H=4,D=1,B=20)",48.77,17.59,1.596,34.36,1.419,52.0,14.1,236634.0,0.875,1.478,715
"HoldDropBot(K=10,H=4,D=1,B=30)",38.94,7.76,1.37,37.24,1.045,49.5,16.66,279730.0,0.476,0.805,715
"ThresholdExit(K=10,M=20)",21.85,-9.33,0.858,43.98,0.497,44.6,30.71,516172.0,-0.312,-0.527,715
"ThresholdExit(K=10,M=30)",28.65,-2.52,1.069,39.66,0.722,47.0,21.83,366630.0,0.006,0.01,715
"ThresholdExit(K=10,M=50)",44.39,13.21,1.524,40.66,1.092,51.2,14.01,234986.0,0.724,1.224,715
ScoreWeighted(K=10),-4.79,-35.97,-0.041,54.3,-0.088,40.3,48.97,823500.0,-1.775,-3.0,715
