strategy,mode,ann_return,ann_excess,sharpe,max_drawdown,calmar,win_rate,avg_turnover,total_cost,info_ratio,t_stat,n_days
TopK(K=5),compound,-25.87,-57.04,-0.843,73.17,-0.354,38.2,68.46,1767080.0,-2.582,-4.364,715
TopK(K=5),fixed,-25.87,-57.04,-0.843,73.17,-0.354,38.2,68.46,576011.0,-2.582,-4.364,715
TopK(K=10),compound,-22.46,-53.64,-0.827,71.04,-0.316,36.9,60.34,1606863.0,-3.182,-5.377,715
TopK(K=10),fixed,-22.48,-53.66,-0.828,71.04,-0.316,36.9,60.34,1014962.0,-3.184,-5.38,715
TopK(K=15),compound,-23.58,-54.75,-1.007,70.23,-0.336,34.5,55.8,1444287.0,-4.223,-7.137,715
TopK(K=15),fixed,-23.59,-54.77,-1.008,70.23,-0.336,34.5,55.8,1407754.0,-4.225,-7.14,715
TopK(K=20),compound,-20.82,-51.99,-0.912,67.64,-0.308,34.1,51.84,1383949.0,-4.516,-7.632,715
TopK(K=20),fixed,-20.82,-52.0,-0.912,67.64,-0.308,34.1,51.84,1743790.0,-4.517,-7.633,715
TopK(K=30),compound,-16.16,-47.34,-0.756,59.95,-0.27,29.2,45.0,1271326.0,-5.714,-9.656,715
TopK(K=30),fixed,-15.17,-46.35,-0.699,59.78,-0.254,29.7,45.0,2270090.0,-5.562,-9.4,715
"TopKDrop(K=10,D=1)",compound,32.86,1.69,1.203,41.42,0.793,48.0,10.06,563179.0,0.206,0.348,715
"TopKDrop(K=10,D=1)",fixed,32.86,1.69,1.203,41.42,0.793,48.0,10.06,168574.0,0.206,0.348,715
"TopKDrop(K=10,D=2)",compound,22.65,-8.52,0.896,44.58,0.508,47.0,20.03,932372.0,-0.295,-0.499,715
"TopKDrop(K=10,D=2)",fixed,22.65,-8.53,0.896,44.58,0.508,47.0,20.03,336486.0,-0.295,-0.499,715
"TopKDrop(K=10,D=3)",compound,11.02,-20.16,0.524,54.34,0.203,45.2,29.59,1270037.0,-0.92,-1.555,715
"TopKDrop(K=10,D=3)",fixed,11.01,-20.17,0.524,54.34,0.203,45.2,29.59,497332.0,-0.921,-1.557,715
"TopKDrop(K=20,D=2)",compound,26.05,-5.13,1.1,40.72,0.64,48.3,10.05,490012.0,-0.247,-0.418,715
"TopKDrop(K=20,D=2)",fixed,26.05,-5.13,1.1,40.72,0.64,48.3,10.05,336914.0,-0.248,-0.419,715
"TopKDrop(K=20,D=5)",compound,11.63,-19.55,0.602,46.56,0.25,44.2,24.17,1017125.0,-1.412,-2.385,715
"TopKDrop(K=20,D=5)",fixed,12.29,-18.88,0.629,46.02,0.267,44.2,24.17,829580.0,-1.357,-2.293,715
"HoldPeriod(K=10,H=3)",compound,15.47,-15.71,0.671,49.55,0.312,45.9,28.08,1183844.0,-0.653,-1.103,715
"HoldPeriod(K=10,H=3)",fixed,15.46,-15.72,0.67,49.55,0.312,45.9,28.08,471898.0,-0.653,-1.104,715
